id,value,x,y
1345,48459472266975,70,260
1346,77535155627160,60,260
1347,114456658306760,50,260
1348,156077261327400,40,260
1349,196793068630200,30,260
1350,229591913401900,20,260
1351,247959266474052,10,260
1352,247959266474052,0,260
1353,229591913401900,-10,260
1354,196793068630200,-20,260
1355,156077261327400,-30,260
1356,114456658306760,-40,260
1357,77535155627160,-50,260
1358,48459472266975,-60,260
1359,27900908274925,-70,260
1360,14771069086725,-80,260
1361,7174519270695,-90,260
1362,3188675231420,-100,260
1363,1292706174900,-110,260
1364,476260169700,-120,260
1365,158753389900,-130,260
1366,47626016970,-140,260
1367,12777711870,-150,260
1368,3042312350,-160,260
1369,636763050,-170,260
1370,115775100,-180,260
1371,18009460,-190,260
1372,2349060,-200,260
1373,249900,-210,260
1374,20825,-220,260
1375,1275,-230,260
1376,51,-240,260
1377,1,-250,260
1378,1,265,265
1379,52,255,265
1380,1326,245,265
1381,22100,235,265
1382,270725,225,265
1383,2598960,215,265
1384,20358520,205,265
1385,133784560,195,265
1386,752538150,185,265
1387,3679075400,175,265
1388,15820024220,165,265
1389,60403728840,155,265
1390,206379406870,145,265
1391,635013559600,135,265
1392,1768966344600,125,265
1393,4481381406320,115,265
1394,10363194502115,105,265
1395,21945588357420,95,265
1396,42671977361650,85,265
1397,76360380541900,75,265
1398,125994627894135,65,265
1399,191991813933920,55,265
1400,270533919634160,45,265
1401,352870329957600,35,265
1402,426384982032100,25,265
1403,477551179875952,15,265
1404,495918532948104,5,265
1405,477551179875952,-5,265
1406,426384982032100,-15,265
1407,352870329957600,-25,265
1408,270533919634160,-35,265
1409,191991813933920,-45,265
1410,125994627894135,-55,265
1411,76360380541900,-65,265
1412,42671977361650,-75,265
1413,21945588357420,-85,265
1414,10363194502115,-95,265
1415,4481381406320,-105,265
1416,1768966344600,-115,265
1417,635013559600,-125,265
1418,206379406870,-135,265
1419,60403728840,-145,265
1420,15820024220,-155,265
1421,3679075400,-165,265
1422,752538150,-175,265
1423,133784560,-185,265
1424,20358520,-195,265
1425,2598960,-205,265
1426,270725,-215,265
1427,22100,-225,265
1428,1326,-235,265
1429,52,-245,265
1430,1,-255,265
1431,1,270,270
1432,53,260,270
1433,1378,250,270
1434,23426,240,270
1435,292825,230,270
1436,2869685,220,270
1437,22957480,210,270
1438,154143080,200,270
1439,886322710,190,270
1440,4431613550,180,270
1441,19499099620,170,270
1442,76223753060,160,270
1443,266783135710,150,270
1444,841392966470,140,270
1445,2403979904200,130,270
1446,6250347750920,120,270
1447,14844575908435,110,270
1448,32308782859535,100,270
1449,64617565719070,90,270
1450,119032357903550,80,270
1451,202355008436035,70,270
1452,317986441828055,60,270
1453,462525733568080,50,270
1454,623404249591760,40,270
1455,779255311989700,30,270
1456,903936161908052,20,270
1457,973469712824056,10,270
1458,973469712824056,0,270
1459,903936161908052,-10,270
1460,779255311989700,-20,270
1461,623404249591760,-30,270
1462,462525733568080,-40,270
1463,317986441828055,-50,270
1464,202355008436035,-60,270
1465,119032357903550,-70,270
1466,64617565719070,-80,270
1467,32308782859535,-90,270
1468,14844575908435,-100,270
1469,6250347750920,-110,270
1470,2403979904200,-120,270
1471,841392966470,-130,270
1472,266783135710,-140,270
1473,76223753060,-150,270
1474,19499099620,-160,270
1475,4431613550,-170,270
1476,886322710,-180,270
1477,154143080,-190,270
1478,22957480,-200,270
1479,2869685,-210,270
1480,292825,-220,270
1481,23426,-230,270
1482,1378,-240,270
1483,53,-250,270
1484,1,-260,270
1485,1,275,275
1486,54,265,275
1487,1431,255,275
1488,24804,245,275
1489,316251,235,275
1490,3162510,225,275
1491,25827165,215,275
1492,177100560,205,275
1493,1040465790,195,275
1494,5317936260,185,275
1495,23930713170,175,275
1496,95722852680,165,275
1497,343006888770,155,275
1498,1108176102180,145,275
1499,3245372870670,135,275
1500,8654327655120,125,275
1501,21094923659355,115,275
1502,47153358767970,105,275
1503,96926348578605,95,275
1504,183649923622620,85,275
1505,321387366339585,75,275
1506,520341450264090,65,275
1507,780512175396135,55,275
1508,1085929983159840,45,275
1509,1402659561581460,35,275
1510,1683191473897752,25,275
1511,1877405874732108,15,275
1512,1946939425648112,5,275
1513,1877405874732108,-5,275
1514,1683191473897752,-15,275
1515,1402659561581460,-25,275
1516,1085929983159840,-35,275
1517,780512175396135,-45,275
1518,520341450264090,-55,275
1519,321387366339585,-65,275
1520,183649923622620,-75,275
1521,96926348578605,-85,275
1522,47153358767970,-95,275
1523,21094923659355,-105,275
1524,8654327655120,-115,275
1525,3245372870670,-125,275
1526,1108176102180,-135,275
1527,343006888770,-145,275
1528,95722852680,-155,275
1529,23930713170,-165,275
1530,5317936260,-175,275
1531,1040465790,-185,275
1532,177100560,-195,275
1533,25827165,-205,275
1534,3162510,-215,275
1535,316251,-225,275
1536,24804,-235,275
1537,1431,-245,275
1538,54,-255,275
1539,1,-265,275
1540,1,280,280
1541,55,270,280
1542,1485,260,280
1543,26235,250,280
1544,341055,240,280
1545,3478761,230,280
1546,28989675,220,280
1547,202927725,210,280
1548,1217566350,200,280
1549,6358402050,190,280
1550,29248649430,180,280
1551,119653565850,170,280
1552,438729741450,160,280
1553,1451182990950,150,280
1554,4353548972850,140,280
1555,11899700525790,130,280
1556,29749251314475,120,280
1557,68248282427325,110,280
1558,144079707346575,100,280
1559,280576272201225,90,280
1560,505037289962205,80,280
1561,841728816603675,70,280
1562,1300853625660225,60,280
1563,1866442158555975,50,280
1564,2488589544741300,40,280
1565,3085851035479212,30,280
1566,3560597348629860,20,280
1567,3824345300380220,10,280
1568,3824345300380220,0,280
1569,3560597348629860,-10,280
1570,3085851035479212,-20,280
1571,2488589544741300,-30,280
1572,1866442158555975,-40,280
1573,1300853625660225,-50,280
1574,841728816603675,-60,280
1575,505037289962205,-70,280
1576,280576272201225,-80,280
1577,144079707346575,-90,280
1578,68248282427325,-100,280
1579,29749251314475,-110,280
1580,11899700525790,-120,280
1581,4353548972850,-130,280
1582,1451182990950,-140,280
1583,438729741450,-150,280
1584,119653565850,-160,280
1585,29248649430,-170,280
1586,6358402050,-180,280
1587,1217566350,-190,280
1588,202927725,-200,280
1589,28989675,-210,280
1590,3478761,-220,280
1591,341055,-230,280
1592,26235,-240,280
1593,1485,-250,280
1594,55,-260,280
1595,1,-270,280
1596,1,285,285
1597,56,275,285
1598,1540,265,285
1599,27720,255,285
1600,367290,245,285
1601,3819816,235,285
1602,32468436,225,285
1603,231917400,215,285
1604,1420494075,205,285
1605,7575968400,195,285
1606,35607051480,185,285
1607,148902215280,175,285
1608,558383307300,165,285
1609,1889912732400,155,285
1610,5804731963800,145,285
1611,16253249498640,135,285
1612,41648951840265,125,285
1613,97997533741800,115,285
1614,212327989773900,105,285
1615,424655979547800,95,285
1616,785613562163430,85,285
1617,1346766106565880,75,285
1618,2142582442263900,65,285
1619,3167295784216200,55,285
1620,4355031703297275,45,285
1621,5574440580220512,35,285
1622,6646448384109072,25,285
1623,7384942649010080,15,285
1624,7648690600760440,5,285
1625,7384942649010080,-5,285
1626,6646448384109072,-15,285
1627,5574440580220512,-25,285
1628,4355031703297275,-35,285
1629,3167295784216200,-45,285
1630,2142582442263900,-55,285
1631,1346766106565880,-65,285
1632,785613562163430,-75,285
1633,424655979547800,-85,285
1634,212327989773900,-95,285
1635,97997533741800,-105,285
1636,41648951840265,-115,285
1637,16253249498640,-125,285
1638,5804731963800,-135,285
1639,1889912732400,-145,285
1640,558383307300,-155,285
1641,148902215280,-165,285
1642,35607051480,-175,285
1643,7575968400,-185,285
1644,1420494075,-195,285
1645,231917400,-205,285
1646,32468436,-215,285
1647,3819816,-225,285
1648,367290,-235,285
1649,27720,-245,285
1650,1540,-255,285
1651,56,-265,285
1652,1,-275,285
1653,1,290,290
1654,57,280,290
1655,1596,270,290
1656,29260,260,290
1657,395010,250,290
1658,4187106,240,290
1659,36288252,230,290
1660,264385836,220,290
1661,1652411475,210,290
1662,8996462475,200,290
1663,43183019880,190,290
1664,184509266760,180,290
1665,707285522580,170,290
1666,2448296039700,160,290
1667,7694644696200,150,290
1668,22057981462440,140,290
1669,57902201338905,130,290
1670,139646485582065,120,290
1671,310325523515700,110,290
1672,636983969321700,100,290
1673,1210269541711230,90,290
1674,2132379668729310,80,290
1675,3489348548829780,70,290
1676,5309878226480100,60,290
1677,7522327487513475,50,290
1678,9929472283517787,40,290
1679,12220888964329584,30,290
1680,14031391033119152,20,290
1681,15033633249770520,10,290
1682,15033633249770520,0,290
1683,14031391033119152,-10,290
1684,12220888964329584,-20,290
1685,9929472283517787,-30,290
1686,7522327487513475,-40,290
1687,5309878226480100,-50,290
1688,3489348548829780,-60,290
1689,2132379668729310,-70,290
1690,1210269541711230,-80,290
1691,636983969321700,-90,290
1692,310325523515700,-100,290
1693,139646485582065,-110,290
1694,57902201338905,-120,290
1695,22057981462440,-130,290
1696,7694644696200,-140,290
1697,2448296039700,-150,290
1698,707285522580,-160,290
1699,184509266760,-170,290
1700,43183019880,-180,290
1701,8996462475,-190,290
1702,1652411475,-200,290
1703,264385836,-210,290
1704,36288252,-220,290
1705,4187106,-230,290
1706,395010,-240,290
1707,29260,-250,290
1708,1596,-260,290
1709,57,-270,290
1710,1,-280,290
1711,1,295,295
1712,58,285,295
1713,1653,275,295
1714,30856,265,295
1715,424270,255,295
1716,4582116,245,295
1717,40475358,235,295
1718,300674088,225,295
1719,1916797311,215,295
1720,10648873950,205,295
1721,52179482355,195,295
1722,227692286640,185,295
1723,891794789340,175,295
1724,3155581562280,165,295
1725,10142940735900,155,295
1726,29752626158640,145,295
1727,79960182801345,135,295
1728,197548686920970,125,295
1729,449972009097765,115,295
1730,947309492837400,105,295
1731,1847253511032930,95,295
1732,3342649210440540,85,295
1733,5621728217559090,75,295
1734,8799226775309880,65,295
1735,12832205713993575,55,295
1736,17451799771031262,45,295
1737,22150361247847371,35,295
1738,26252279997448736,25,295
1739,29065024282889672,15,295
1740,30067266499541040,5,295
1741,29065024282889672,-5,295
1742,26252279997448736,-15,295
1743,22150361247847371,-25,295
1744,17451799771031262,-35,295
1745,12832205713993575,-45,295
1746,8799226775309880,-55,295
1747,5621728217559090,-65,295
1748,3342649210440540,-75,295
1749,1847253511032930,-85,295
1750,947309492837400,-95,295
1751,449972009097765,-105,295
1752,197548686920970,-115,295
1753,79960182801345,-125,295
1754,29752626158640,-135,295
1755,10142940735900,-145,295
1756,3155581562280,-155,295
1757,891794789340,-165,295
1758,227692286640,-175,295
1759,52179482355,-185,295
1760,10648873950,-195,295
1761,1916797311,-205,295
1762,300674088,-215,295
1763,40475358,-225,295
1764,4582116,-235,295
1765,424270,-245,295
1766,30856,-255,295
1767,1653,-265,295
1768,58,-275,295
1769,1,-285,295
1770,1,300,300
1771,59,290,300
1772,1711,280,300
1773,32509,270,300
1774,455126,260,300
1775,5006386,250,300
1776,45057474,240,300
1777,341149446,230,300
1778,2217471399,220,300
1779,12565671261,210,300
1780,62828356305,200,300
1781,279871768995,190,300
1782,1119487075980,180,300
1783,4047376351620,170,300
1784,13298522298180,160,300
1785,39895566894540,150,300
1786,109712808959985,140,300
1787,277508869722315,130,300
1788,647520696018735,120,300
1789,1397281501935165,110,300
1790,2794563003870330,100,300
1791,5189902721473470,90,300
1792,8964377427999630,80,300
1793,14420954992868970,70,300
1794,21631432489303455,60,300
1795,30284005485024837,50,300
1796,39602161018878633,40,300
1797,48402641245296107,30,300
1798,55317304280338408,20,300
1799,59132290782430712,10,300
1800,59132290782430712,0,300
1801,55317304280338408,-10,300
1802,48402641245296107,-20,300
1803,39602161018878633,-30,300
1804,30284005485024837,-40,300
1805,21631432489303455,-50,300
1806,14420954992868970,-60,300
1807,8964377427999630,-70,300
1808,5189902721473470,-80,300
1809,2794563003870330,-90,300
1810,1397281501935165,-100,300
1811,647520696018735,-110,300
1812,277508869722315,-120,300
1813,109712808959985,-130,300
1814,39895566894540,-140,300
1815,13298522298180,-150,300
1816,4047376351620,-160,300
1817,1119487075980,-170,300
1818,279871768995,-180,300
1819,62828356305,-190,300
1820,12565671261,-200,300
1821,2217471399,-210,300
1822,341149446,-220,300
1823,45057474,-230,300
1824,5006386,-240,300
1825,455126,-250,300
1826,32509,-260,300
1827,1711,-270,300
1828,59,-280,300
1829,1,-290,300
1830,1,305,305
1831,60,295,305
1832,1770,285,305
1833,34220,275,305
1834,487635,265,305
1835,5461512,255,305
1836,50063860,245,305
1837,386206920,235,305
1838,2558620845,225,305
1839,14783142660,215,305
1840,75394027566,205,305
1841,342700125300,195,305
1842,1399358844975,185,305
1843,5166863427600,175,305
1844,17345898649800,165,305
1845,53194089192720,155,305
1846,149608375854525,145,305
1847,387221678682300,135,305
1848,925029565741050,125,305
1849,2044802197953900,115,305
1850,4191844505805495,105,305
1851,7984465725343800,95,305
1852,14154280149473100,85,305
1853,23385332420868600,75,305
1854,36052387482172425,65,305
1855,51915437974328292,55,305
1856,69886166503903470,45,305
1857,88004802264174740,35,305
1858,103719945525634515,25,305
1859,114449595062769120,15,305
1860,118264581564861424,5,305
1861,114449595062769120,-5,305
1862,103719945525634515,-15,305
1863,88004802264174740,-25,305
1864,69886166503903470,-35,305
1865,51915437974328292,-45,305
1866,36052387482172425,-55,305
1867,23385332420868600,-65,305
1868,14154280149473100,-75,305
1869,7984465725343800,-85,305
1870,4191844505805495,-95,305
1871,2044802197953900,-105,305
1872,925029565741050,-115,305
1873,387221678682300,-125,305
1874,149608375854525,-135,305
1875,53194089192720,-145,305
1876,17345898649800,-155,305
1877,5166863427600,-165,305
1878,1399358844975,-175,305
1879,342700125300,-185,305
1880,75394027566,-195,305
1881,14783142660,-205,305
1882,2558620845,-215,305
1883,386206920,-225,305
1884,50063860,-235,305
1885,5461512,-245,305
1886,487635,-255,305
1887,34220,-265,305
1888,1770,-275,305
1889,60,-285,305
1890,1,-295,305
1891,1,310,310
1892,61,300,310
1893,1830,290,310
1894,35990,280,310
1895,521855,270,310
1896,5949147,260,310
1897,55525372,250,310
1898,436270780,240,310
1899,2944827765,230,310
1900,17341763505,220,310
1901,90177170226,210,310
1902,418094152866,200,310
1903,1742058970275,190,310
1904,6566222272575,180,310
1905,22512762077400,170,310
1906,70539987842520,160,310
1907,202802465047245,150,310
1908,536830054536825,140,310
1909,1312251244423350,130,310
1910,2969831763694950,120,310
1911,6236646703759395,110,310
1912,12176310231149295,100,310
1913,22138745874816900,90,310
1914,37539612570341700,80,310
1915,59437719903041025,70,310
1916,87967825456500717,60,310
1917,121801604478231762,50,310
1918,157890968768078210,40,310
1919,191724747789809255,30,310
1920,218169540588403635,20,310
1921,232714176627630544,10,310
1922,232714176627630544,0,310
1923,218169540588403635,-10,310
1924,191724747789809255,-20,310
1925,157890968768078210,-30,310
1926,121801604478231762,-40,310
1927,87967825456500717,-50,310
1928,59437719903041025,-60,310
1929,37539612570341700,-70,310
1930,22138745874816900,-80,310
1931,12176310231149295,-90,310
1932,6236646703759395,-100,310
1933,2969831763694950,-110,310
1934,1312251244423350,-120,310
1935,536830054536825,-130,310
1936,202802465047245,-140,310
1937,70539987842520,-150,310
1938,22512762077400,-160,310
1939,6566222272575,-170,310
1940,1742058970275,-180,310
1941,418094152866,-190,310
1942,90177170226,-200,310
1943,17341763505,-210,310
1944,2944827765,-220,310
1945,436270780,-230,310
1946,55525372,-240,310
1947,5949147,-250,310
1948,521855,-260,310
1949,35990,-270,310
1950,1830,-280,310
1951,61,-290,310
1952,1,-300,310
1953,1,315,315
1954,62,305,315
1955,1891,295,315
1956,37820,285,315
1957,557845,275,315
1958,6471002,265,315
1959,61474519,255,315
1960,491796152,245,315
1961,3381098545,235,315
1962,20286591270,225,315
1963,107518933731,215,315
1964,508271323092,205,315
1965,2160153123141,195,315
1966,8308281242850,185,315
1967,29078984349975,175,315
1968,93052749919920,165,315
1969,273342452889765,155,315
1970,739632519584070,145,315
1971,1849081298960175,135,315
1972,4282083008118300,125,315
1973,9206478467454345,115,315
1974,18412956934908690,105,315
1975,34315056105966195,95,315
1976,59678358445158600,85,315
1977,96977332473382725,75,315
1978,147405545359541742,65,315
1979,209769429934732479,55,315
1980,279692573246309972,45,315
1981,349615716557887465,35,315
1982,409894288378212890,25,315
1983,450883717216034179,15,315
1984,465428353255261088,5,315
1985,450883717216034179,-5,315
1986,409894288378212890,-15,315
1987,349615716557887465,-25,315
1988,279692573246309972,-35,315
1989,209769429934732479,-45,315
1990,147405545359541742,-55,315
1991,96977332473382725,-65,315
1992,59678358445158600,-75,315
1993,34315056105966195,-85,315
1994,18412956934908690,-95,315
1995,9206478467454345,-105,315
1996,4282083008118300,-115,315
1997,1849081298960175,-125,315
1998,739632519584070,-135,315
1999,273342452889765,-145,315
2000,93052749919920,-155,315
2001,29078984349975,-165,315
2002,8308281242850,-175,315
2003,2160153123141,-185,315
2004,508271323092,-195,315
2005,107518933731,-205,315
2006,20286591270,-215,315
2007,3381098545,-225,315
2008,491796152,-235,315
2009,61474519,-245,315
2010,6471002,-255,315
2011,557845,-265,315
2012,37820,-275,315
2013,1891,-285,315
2014,62,-295,315
2015,1,-305,315
2016,1,320,320
2017,63,310,320
2018,1953,300,320
2019,39711,290,320
2020,595665,280,320
2021,7028847,270,320
2022,67945521,260,320
2023,553270671,250,320
2024,3872894697,240,320
2025,23667689815,230,320
2026,127805525001,220,320
2027,615790256823,210,320
2028,2668424446233,200,320
2029,10468434365991,190,320
2030,37387265592825,180,320
2031,122131734269895,170,320
2032,366395202809685,160,320
2033,1012974972473835,150,320
2034,2588713818544245,140,320
2035,6131164307078475,130,320
2036,13488561475572645,120,320
2037,27619435402363035,110,320
2038,52728013040874885,100,320
2039,93993414551124795,90,320
2040,156655690918541325,80,320
2041,244382877832924467,70,320
2042,357174975294274221,60,320
2043,489462003181042451,50,320
2044,629308289804197437,40,320
2045,759510004936100355,30,320
2046,860778005594247069,20,320
2047,916312070471295267,10,320
2048,916312070471295267,0,320
2049,860778005594247069,-10,320
2050,759510004936100355,-20,320
2051,629308289804197437,-30,320
2052,489462003181042451,-40,320
2053,357174975294274221,-50,320
2054,244382877832924467,-60,320
2055,156655690918541325,-70,320
2056,93993414551124795,-80,320
2057,52728013040874885,-90,320
2058,27619435402363035,-100,320
2059,13488561475572645,-110,320
2060,6131164307078475,-120,320
2061,2588713818544245,-130,320
2062,1012974972473835,-140,320
2063,366395202809685,-150,320
2064,122131734269895,-160,320
2065,37387265592825,-170,320
2066,10468434365991,-180,320
2067,2668424446233,-190,320
2068,615790256823,-200,320
2069,127805525001,-210,320
2070,23667689815,-220,320
2071,3872894697,-230,320
2072,553270671,-240,320
2073,67945521,-250,320
2074,7028847,-260,320
2075,595665,-270,320
2076,39711,-280,320
2077,1953,-290,320
2078,63,-300,320
2079,1,-310,320
2080,1,325,325
2081,64,315,325
2082,2016,305,325
2083,41664,295,325
2084,635376,285,325
2085,7624512,275,325
2086,74974368,265,325
2087,621216192,255,325
2088,4426165368,245,325
2089,27540584512,235,325
2090,151473214816,225,325
2091,743595781824,215,325
2092,3284214703056,205,325
2093,13136858812224,195,325
2094,47855699958816,185,325
2095,159518999862720,175,325
2096,488526937079580,165,325
2097,1379370175283520,155,325
2098,3601688791018080,145,325
2099,8719878125622720,135,325
2100,19619725782651120,125,325
2101,41107996877935680,115,325
2102,80347448443237920,105,325
2103,146721427591999680,95,325
2104,250649105469666120,85,325
2105,401038568751465792,75,325
2106,601557853127198688,65,325
2107,846636978475316672,55,325
2108,1118770292985239888,45,325
2109,1388818294740297792,35,325
2110,1620288010530347424,25,325
2111,1777090076065542336,15,325
2112,1832624140942590534,5,325
2113,1777090076065542336,-5,325
2114,1620288010530347424,-15,325
2115,1388818294740297792,-25,325
2116,1118770292985239888,-35,325
2117,846636978475316672,-45,325
2118,601557853127198688,-55,325
2119,401038568751465792,-65,325
2120,250649105469666120,-75,325
2121,146721427591999680,-85,325
2122,80347448443237920,-95,325
2123,41107996877935680,-105,325
2124,19619725782651120,-115,325
2125,8719878125622720,-125,325
2126,3601688791018080,-135,325
2127,1379370175283520,-145,325
2128,488526937079580,-155,325
2129,159518999862720,-165,325
2130,47855699958816,-175,325
2131,13136858812224,-185,325
2132,3284214703056,-195,325
2133,743595781824,-205,325
2134,151473214816,-215,325
2135,27540584512,-225,325
2136,4426165368,-235,325
2137,621216192,-245,325
2138,74974368,-255,325
2139,7624512,-265,325
2140,635376,-275,325
2141,41664,-285,325
2142,2016,-295,325
2143,64,-305,325
2144,1,-315,325
2145,1,330,330
2146,65,320,330
2147,2080,310,330
2148,43680,300,330
2149,677040,290,330
2150,8259888,280,330
2151,82598880,270,330
2152,696190560,260,330
2153,5047381560,250,330
2154,31966749880,240,330
2155,179013799328,230,330
2156,895068996640,220,330
2157,4027810484880,210,330
2158,16421073515280,200,330
2159,60992558771040,190,330
2160,207374699821536,180,330
2161,648045936942300,170,330
2162,1867897112363100,160,330
2163,4981058966301600,150,330
2164,12321566916640800,140,330
2165,28339603908273840,130,330
2166,60727722660586800,120,330
2167,121455445321173600,110,330
2168,227068876035237600,100,330
2169,397370533061665800,90,330
2170,651687674221131912,80,330
2171,1002596421878664480,70,330
2172,1448194831602515360,60,330
2173,1965407271460556560,50,330
2174,2507588587725537680,40,330
2175,3009106305270645216,30,330
2176,3397378086595889760,20,330
2177,3609714217008132870,10,330
2178,3609714217008132870,0,330
2179,3397378086595889760,-10,330
2180,3009106305270645216,-20,330
2181,2507588587725537680,-30,330
2182,1965407271460556560,-40,330
2183,1448194831602515360,-50,330
2184,1002596421878664480,-60,330
2185,651687674221131912,-70,330
2186,397370533061665800,-80,330
2187,227068876035237600,-90,330
2188,121455445321173600,-100,330
2189,60727722660586800,-110,330
2190,28339603908273840,-120,330
2191,12321566916640800,-130,330
2192,4981058966301600,-140,330
2193,1867897112363100,-150,330
2194,648045936942300,-160,330
2195,207374699821536,-170,330
2196,60992558771040,-180,330
2197,16421073515280,-190,330
2198,4027810484880,-200,330
2199,895068996640,-210,330
2200,179013799328,-220,330
2201,31966749880,-230,330
2202,5047381560,-240,330
2203,696190560,-250,330
2204,82598880,-260,330
2205,8259888,-270,330
2206,677040,-280,330
2207,43680,-290,330
2208,2080,-300,330
2209,65,-310,330
2210,1,-320,330
2211,1,335,335
2212,66,325,335
2213,2145,315,335
2214,45760,305,335
2215,720720,295,335
2216,8936928,285,335
2217,90858768,275,335
2218,778789440,265,335
2219,5743572120,255,335
2220,37014131440,245,335
2221,210980549208,235,335
2222,1074082795968,225,335
2223,4922879481520,215,335
2224,20448884000160,205,335
2225,77413632286320,195,335
2226,268367258592576,185,335
2227,855420636763836,175,335
2228,2515943049305400,165,335
2229,6848956078664700,155,335
2230,17302625882942400,145,335
2231,40661170824914640,135,335
2232,89067326568860640,125,335
2233,182183167981760400,115,335
2234,348524321356411200,105,335
2235,624439409096903400,95,335
2236,1049058207282797712,85,335
2237,1654284096099796392,75,335
2238,2450791253481179840,65,335
2239,3413602103063071920,55,335
2240,4472995859186094240,45,335
2241,5516694892996182896,35,335
2242,6406484391866534976,25,335
2243,7007092303604022630,15,335
2244,7219428434016265740,5,335
2245,7007092303604022630,-5,335
2246,6406484391866534976,-15,335
2247,5516694892996182896,-25,335
2248,4472995859186094240,-35,335
2249,3413602103063071920,-45,335
2250,2450791253481179840,-55,335
2251,1654284096099796392,-65,335
2252,1049058207282797712,-75,335
2253,624439409096903400,-85,335
2254,348524321356411200,-95,335
2255,182183167981760400,-105,335
2256,89067326568860640,-115,335
2257,40661170824914640,-125,335
2258,17302625882942400,-135,335
2259,6848956078664700,-145,335
2260,2515943049305400,-155,335
2261,855420636763836,-165,335
2262,268367258592576,-175,335
2263,77413632286320,-185,335
2264,20448884000160,-195,335
2265,4922879481520,-205,335
2266,1074082795968,-215,335
2267,210980549208,-225,335
2268,37014131440,-235,335
2269,5743572120,-245,335
2270,778789440,-255,335
2271,90858768,-265,335
2272,8936928,-275,335
2273,720720,-285,335
2274,45760,-295,335
2275,2145,-305,335
2276,66,-315,335
2277,1,-325,335
2278,1,340,340
2279,67,330,340
2280,2211,320,340
2281,47905,310,340
2282,766480,300,340
2283,9657648,290,340
2284,99795696,280,340
2285,869648208,270,340
2286,6522361560,260,340
2287,42757703560,250,340
2288,247994680648,240,340
2289,1285063345176,230,340
2290,5996962277488,220,340
2291,25371763481680,210,340
2292,97862516286480,200,340
2293,345780890878896,190,340
2294,1123787895356412,180,340
2295,3371363686069236,170,340
2296,9364899127970100,160,340
2297,24151581961607100,150,340
2298,57963796707857040,140,340
2299,129728497393775280,130,340
2300,271250494550621040,120,340
2301,530707489338171600,110,340
2302,972963730453314600,100,340
2303,1673497616379701112,90,340
2304,2703342303382594104,80,340
2305,4105075349580976232,70,340
2306,5864393356544251760,60,340
2307,7886597962249166160,50,340
2308,9989690752182277136,40,340
2309,11923179284862717872,30,340
2310,13413576695470557606,20,340
2311,14226520737620288370,10,340
2312,14226520737620288370,0,340
2313,13413576695470557606,-10,340
2314,11923179284862717872,-20,340
2315,9989690752182277136,-30,340
2316,7886597962249166160,-40,340
2317,5864393356544251760,-50,340
2318,4105075349580976232,-60,340
2319,2703342303382594104,-70,340
2320,1673497616379701112,-80,340
2321,972963730453314600,-90,340
2322,530707489338171600,-100,340
2323,271250494550621040,-110,340
2324,129728497393775280,-120,340
2325,57963796707857040,-130,340
2326,24151581961607100,-140,340
2327,9364899127970100,-150,340
2328,3371363686069236,-160,340
2329,1123787895356412,-170,340
2330,345780890878896,-180,340
2331,97862516286480,-190,340
2332,25371763481680,-200,340
2333,5996962277488,-210,340
2334,1285063345176,-220,340
2335,247994680648,-230,340
2336,42757703560,-240,340
2337,6522361560,-250,340
2338,869648208,-260,340
2339,99795696,-270,340
2340,9657648,-280,340
2341,766480,-290,340
2342,47905,-300,340
2343,2211,-310,340
2344,67,-320,340
2345,1,-330,340
2346,1,345,345
2347,68,335,345
2348,2278,325,345
2349,50116,315,345
2350,814385,305,345
2351,10424128,295,345
2352,109453344,285,345
2353,969443904,275,345
2354,7392009768,265,345
2355,49280065120,255,345
2356,290752384208,245,345
2357,1533058025824,235,345
2358,7282025622664,225,345
2359,31368725759168,215,345
2360,123234279768160,205,345
2361,443643407165376,195,345
2362,1469568786235308,185,345
2363,4495151581425648,175,345
2364,12736262814039336,165,345
2365,33516481089577200,155,345
2366,82115378669464140,145,345
2367,187692294101632320,135,345
2368,400978991944396320,125,345
2369,801957983888792640,115,345
2370,1503671219791486200,105,345
2371,2646461346833015712,95,345
2372,4376839919762295216,85,345
2373,6808417652963570336,75,345
2374,9969468706125227992,65,345
2375,13750991318793417920,55,345
2376,17876288714431443296,45,345
2377,21912870037044995008,35,345
2378,25336755980333275478,25,345
2379,27640097433090845976,15,345
2380,28453041475240576740,5,345
2381,27640097433090845976,-5,345
2382,25336755980333275478,-15,345
2383,21912870037044995008,-25,345
2384,17876288714431443296,-35,345
2385,13750991318793417920,-45,345
2386,9969468706125227992,-55,345
2387,6808417652963570336,-65,345
2388,4376839919762295216,-75,345
2389,2646461346833015712,-85,345
2390,1503671219791486200,-95,345
2391,801957983888792640,-105,345
2392,400978991944396320,-115,345
2393,187692294101632320,-125,345
2394,82115378669464140,-135,345
2395,33516481089577200,-145,345
2396,12736262814039336,-155,345
2397,4495151581425648,-165,345
2398,1469568786235308,-175,345
2399,443643407165376,-185,345
2400,123234279768160,-195,345
2401,31368725759168,-205,345
2402,7282025622664,-215,345
2403,1533058025824,-225,345
2404,290752384208,-235,345
2405,49280065120,-245,345
2406,7392009768,-255,345
2407,969443904,-265,345
2408,109453344,-275,345
2409,10424128,-285,345
2410,814385,-295,345
2411,50116,-305,345
2412,2278,-315,345
2413,68,-325,345
2414,1,-335,345
2415,1,350,350
2416,69,340,350
2417,2346,330,350
2418,52394,320,350
2419,864501,310,350
2420,11238513,300,350
